,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
0,1001,24644.0,12.8,16.0,13.8,75.67
1,1003,26851.0,13.8,14.1,11.0,78.08
2,1005,17350.0,24.1,20.0,25.4,75.42
3,1007,18110.0,17.0,15.8,22.1,73.97
4,1009,20501.0,17.3,17.0,21.9,76.16
5,1011,17706.0,20.5,20.2,34.5,73.86
6,1013,18115.0,25.9,21.2,23.4,73.39
7,1015,21306.0,21.7,18.7,19.9,74.02
8,1017,21240.0,23.9,19.9,22.5,74.06
9,1019,22234.0,21.0,21.7,20.5,75.08
10,1021,21718.0,18.8,17.1,22.5,74.53
11,1023,21268.0,21.5,24.5,25.9,75.29
12,1025,20022.0,27.0,15.7,19.9,75.46
13,1027,18957.0,18.7,19.5,25.1,75.06
14,1029,19736.0,18.1,19.9,24.7,74.3
15,1031,24204.0,18.8,17.0,16.9,76.48
16,1033,21763.0,18.3,19.9,16.4,75.07
17,1035,15441.0,32.9,22.9,24.0,74.05
18,1037,17749.0,20.0,20.7,24.1,75.19
19,1039,20941.0,20.1,20.9,20.0,75.15
20,1041,20366.0,17.2,18.5,23.1,74.07
21,1043,21105.0,18.0,17.1,18.5,75.31
22,1045,22368.0,18.7,19.4,15.3,76.26
23,1047,17614.0,35.9,20.5,22.3,72.39
24,1049,18416.0,20.1,16.0,26.9,75.25
25,1051,24185.0,12.9,15.2,12.8,75.93
26,1053,16673.0,26.0,20.0,21.4,74.15
27,1055,20445.0,19.6,20.0,17.9,73.85
28,1057,19040.0,20.8,24.7,23.9,73.98
29,1059,18559.0,24.3,18.8,25.6,73.31
30,1061,20027.0,22.6,22.2,21.9,75.54
31,1063,13956.0,36.6,24.9,24.9,74.05
32,1065,18774.0,27.9,21.7,20.6,74.01
33,1067,22682.0,14.8,19.3,20.5,75.97
34,1069,23492.0,18.4,17.4,15.7,76.81
35,1071,20055.0,18.2,18.5,24.7,74.13
36,1073,26896.0,18.7,14.5,12.3,75.34
37,1075,19094.0,22.6,23.3,22.1,74.83
38,1077,23975.0,18.7,15.8,16.0,76.5
39,1079,21093.0,17.1,20.6,21.9,74.33
40,1081,24126.0,23.6,11.6,12.5,76.52
41,1083,25658.0,14.1,13.3,17.4,77.21
42,1085,18046.0,29.3,20.6,27.3,72.57
43,1087,17113.0,26.4,18.1,18.7,72.81
44,1089,32307.0,13.4,12.4,9.9,78.07
45,1091,22529.0,25.0,22.5,15.7,74.68
46,1093,20125.0,19.4,24.4,25.1,74.54
47,1095,20975.0,19.9,17.5,22.9,74.53
48,1097,23009.0,19.9,15.2,15.1,75.13
49,1099,16273.0,29.2,15.4,21.4,74.97
50,1101,25089.0,22.0,15.6,15.0,75.83
