County,County Code,Deaths,Population,Crude Rate
"Autauga County, AL",01001,8421,975679,863.1
"Baldwin County, AL",01003,32481,3316841,979.3
"Barbour County, AL",01005,5517,524875,1051.1
"Bibb County, AL",01007,4360,420148,1037.7
"Blount County, AL",01009,10624,1055789,1006.3
"Bullock County, AL",01011,2430,207893,1168.9
"Butler County, AL",01013,5225,393446,1328
"Calhoun County, AL",01015,25796,2189206,1178.3
"Chambers County, AL",01017,8783,662645,1325.4
"Cherokee County, AL",01019,5825,480944,1211.2
"Chilton County, AL",01021,8670,807006,1074.3
"Choctaw County, AL",01023,3254,271266,1199.6
"Clarke County, AL",01025,5454,496992,1097.4
"Clay County, AL",01027,3435,264370,1299.3
"Cleburne County, AL",01029,3271,278629,1174
"Coffee County, AL",01031,9109,909426,1001.6
"Colbert County, AL",01033,12546,1035363,1211.7
"Conecuh County, AL",01035,3261,252529,1291.3
"Coosa County, AL",01037,2569,215538,1191.9
"Covington County, AL",01039,9669,712542,1357
"Crenshaw County, AL",01041,3421,263078,1300.4
"Cullman County, AL",01043,17639,1513843,1165.2
"Dale County, AL",01045,8919,940798,948
"Dallas County, AL",01047,10346,829613,1247.1
"DeKalb County, AL",01049,13829,1309494,1056.1
"Elmore County, AL",01051,12655,1436208,881.1
"Escambia County, AL",01053,8471,720896,1175.1
"Etowah County, AL",01055,25855,1967533,1314.1
"Fayette County, AL",01057,4423,332986,1328.3
"Franklin County, AL",01059,7340,595564,1232.4
"Geneva County, AL",01061,6289,499601,1258.8
"Greene County, AL",01063,2089,175560,1189.9
"Hale County, AL",01065,3613,307035,1176.7
"Henry County, AL",01067,4050,321703,1258.9
"Houston County, AL",01069,18422,1855300,992.9
"Jackson County, AL",01071,12180,1011103,1204.6
"Jefferson County, AL",01073,135019,12513832,1079
"Lamar County, AL",01075,3720,280624,1325.6
"Lauderdale County, AL",01077,19183,1724673,1112.3
"Lawrence County, AL",01079,7143,647747,1102.7
"Lee County, AL",01081,16778,2579698,650.4
"Limestone County, AL",01083,12406,1498773,827.7
"Lowndes County, AL",01085,2607,224284,1162.4
"Macon County, AL",01087,4889,409922,1192.7
"Madison County, AL",01089,48602,6073525,800.2
"Marengo County, AL",01091,4857,401817,1208.8
"Marion County, AL",01093,7576,580989,1304
"Marshall County, AL",01095,19421,1703998,1139.7
"Mobile County, AL",01097,77729,7735541,1004.8
"Monroe County, AL",01099,4928,439004,1122.5
"Montgomery County, AL",01101,39254,4296734,913.6
"Morgan County, AL",01103,22208,2210213,1004.8
"Perry County, AL",01105,2725,202810,1343.6
"Pickens County, AL",01107,4798,384304,1248.5
"Pike County, AL",01109,6012,603130,996.8
"Randolph County, AL",01111,5417,429749,1260.5
"Russell County, AL",01113,10912,1011681,1078.6
"St. Clair County, AL",01115,14602,1482453,985
"Shelby County, AL",01117,21825,3465592,629.8
"Sumter County, AL",01119,2968,263214,1127.6
"Talladega County, AL",01121,17721,1544702,1147.2
"Tallapoosa County, AL",01123,9996,783416,1276
"Tuscaloosa County, AL",01125,30154,3539810,851.9
"Walker County, AL",01127,18327,1284664,1426.6
"Washington County, AL",01129,3504,331350,1057.5
"Wilcox County, AL",01131,2792,227689,1226.2
"Winston County, AL",01133,5753,464198,1239.3
"Aleutians East Borough, AK",02013,130,56820,228.8
"Aleutians West Census Area, AK",02016,262,106293,246.5
"Anchorage Borough, AK",02020,26201,5380997,486.9
"Bethel Census Area, AK",02050,1862,323171,576.2
"Bristol Bay Borough, AK",02060,130,20183,644.1
"Denali Borough, AK",02068,104,28086,370.3
"Dillingham Census Area, AK",02070,578,93000,621.5
"Fairbanks North Star Borough, AK",02090,7569,1774155,426.6
"Haines Borough, AK",02100,328,46200,710
"Hoonah-Angoon Census Area, AK",02105,69,8438,817.7
"Juneau Borough, AK",02110,3006,597584,503
"Kenai Peninsula Borough, AK",02122,6642,1026542,647
"Ketchikan Gateway Borough, AK",02130,1746,258780,674.7
"Kodiak Island Borough, AK",02150,1071,258625,414.1
"Lake and Peninsula Borough, AK",02164,261,31363,832.2
"Matanuska-Susitna Borough, AK",02170,8211,1566569,524.1
"Nome Census Area, AK",02180,1258,180308,697.7
"North Slope Borough, AK",02185,811,166051,488.4
"Northwest Arctic Borough, AK",02188,831,142364,583.7
"Petersburg Borough/Census Area, AK",02195,92,12767,720.6
"Prince of Wales-Hyder Census Area, AK",02198,212,25527,830.5
"Prince of Wales-Outer Ketchikan Census Area, AK",02201,458,85493,535.7
"Sitka Borough, AK",02220,1091,168763,646.5
"Skagway Municipality, AK",02230,19,4338,Unreliable
"Skagway-Hoonah-Angoon Census Area, AK",02232,258,48560,531.3
"Southeast Fairbanks Census Area, AK",02240,749,125489,596.9
"Valdez-Cordova Census Area, AK",02261,1008,185066,544.7
"Wade Hampton Census Area, AK",02270,954,142767,668.2
"Wrangell City and Borough, AK",02275,85,9678,878.3
"Wrangell-Petersburg Census Area, AK",02280,729,94972,767.6
"Yakutat Borough, AK",02282,66,12764,517.1
"Yukon-Koyukuk Census Area, AK",02290,998,119030,838.4
"Apache County, AZ",04001,10723,1336111,802.6
"Cochise County, AZ",04003,22348,2387736,935.9
"Coconino County, AZ",04005,12895,2470654,521.9
"Gila County, AZ",04007,12994,998556,1301.3
"Graham County, AZ",04009,5271,674993,780.9
"Greenlee County, AZ",04011,1122,162049,692.4
"La Paz County, AZ",04012,4501,383297,1174.3
"Maricopa County, AZ",04013,488047,70177615,695.4
"Mohave County, AZ",04015,48926,3598927,1359.5
"Navajo County, AZ",04017,16108,1992400,808.5
"Pima County, AZ",04019,156955,17966184,873.6
"Pinal County, AZ",04021,40994,5856419,700
