,Year,Density,Deaths,Population,Rate per 100k
0,2000,Large Central Metro,678021,86605562,782.9
1,2000,Large Fringe Metro,520441,66611614,781.3
2,2000,Medium Metro,495282,57448175,862.1
3,2000,Small Metro,237415,25972445,914.1
4,2000,Micropolitan (Nonmetro),258629,25909513,998.2
5,2000,NonCore (Nonmetro),213563,18874597,1131.5
6,2000,Total,2403351,281421906,854.0
7,2001,Large Central Metro,682118,87669541,778.1
8,2001,Large Fringe Metro,527266,68009510,775.3
9,2001,Medium Metro,497520,58236589,854.3
10,2001,Small Metro,238793,26212626,911.0
11,2001,Micropolitan (Nonmetro),258732,25994665,995.3
12,2001,NonCore (Nonmetro),211996,18846024,1124.9
13,2001,Total,2416425,284968955,848.0
14,2002,Large Central Metro,679366,88263944,769.7
15,2002,Large Fringe Metro,537194,69050312,778.0
16,2002,Medium Metro,506995,58899471,860.8
17,2002,Small Metro,241337,26452065,912.4
18,2002,Micropolitan (Nonmetro),262514,26095889,1006.0
19,2002,NonCore (Nonmetro),215981,18863512,1145.0
20,2002,Total,2443387,287625193,849.5
21,2003,Large Central Metro,676267,88760451,761.9
22,2003,Large Fringe Metro,538524,70032084,769.0
23,2003,Medium Metro,510658,59518143,858.0
24,2003,Small Metro,244999,26683255,918.2
25,2003,Micropolitan (Nonmetro),263106,26209837,1003.8
26,2003,NonCore (Nonmetro),214734,18904163,1135.9
27,2003,Total,2448288,290107933,843.9
28,2004,Large Central Metro,661678,89243514,741.4
29,2004,Large Fringe Metro,530580,71022980,747.1
30,2004,Medium Metro,500749,60262728,830.9
31,2004,Small Metro,239400,26981411,887.3
32,2004,Micropolitan (Nonmetro),257118,26349928,975.8
33,2004,NonCore (Nonmetro),208090,18944737,1098.4
34,2004,Total,2397615,292805298,818.8
35,2005,Large Central Metro,669828,89762433,746.2
36,2005,Large Fringe Metro,540777,71989227,751.2
37,2005,Medium Metro,514821,61023918,843.6
38,2005,Small Metro,246840,27264357,905.4
39,2005,Micropolitan (Nonmetro),263134,26488944,993.4
40,2005,NonCore (Nonmetro),212617,18987720,1119.8
41,2005,Total,2448017,295516599,828.4
42,2006,Large Central Metro,659457,90218772,731.0
43,2006,Large Fringe Metro,538567,72929376,738.5
44,2006,Medium Metro,512481,61872916,828.3
45,2006,Small Metro,245828,27620560,890.0
46,2006,Micropolitan (Nonmetro),261280,26685012,979.1
47,2006,NonCore (Nonmetro),208651,19053276,1095.1
48,2006,Total,2426264,298379912,813.1
49,2007,Large Central Metro,651711,90936161,716.7
50,2007,Large Fringe Metro,540198,73833666,731.6
51,2007,Medium Metro,514363,62622069,821.4
52,2007,Small Metro,245914,27908721,881.1
53,2007,Micropolitan (Nonmetro),261596,26835535,974.8
54,2007,NonCore (Nonmetro),209930,19095055,1099.4
55,2007,Total,2423712,301231207,804.6
56,2008,Large Central Metro,658247,91828270,716.8
57,2008,Large Fringe Metro,553004,74696904,740.3
58,2008,Medium Metro,525867,63295790,830.8
59,2008,Small Metro,251650,28175556,893.2
60,2008,Micropolitan (Nonmetro),268498,26973330,995.4
61,2008,NonCore (Nonmetro),214718,19124116,1122.8
62,2008,Total,2471984,304093966,812.9
63,2009,Large Central Metro,645702,92817989,695.7
64,2009,Large Fringe Metro,548189,75443249,726.6
65,2009,Medium Metro,519643,63900907,813.2
66,2009,Small Metro,250195,28411226,880.6
67,2009,Micropolitan (Nonmetro),263249,27076143,972.3
68,2009,NonCore (Nonmetro),210185,19122015,1099.2
69,2009,Total,2437163,306771529,794.5
70,2010,Large Central Metro,647992,93505527,693.0
71,2010,Large Fringe Metro,557890,76007372,734.0
72,2010,Medium Metro,529575,64369293,822.7
73,2010,Small Metro,253642,28569940,887.8
74,2010,Micropolitan (Nonmetro),266780,27154213,982.5
75,2010,NonCore (Nonmetro),212556,19139193,1110.6
76,2010,Total,2468435,308745538,799.5
77,2011,Large Central Metro,659543,94698280,696.5
78,2011,Large Fringe Metro,570623,76806991,742.9
79,2011,Medium Metro,539214,64998427,829.6
80,2011,Small Metro,259433,28766906,901.8
81,2011,Micropolitan (Nonmetro),271867,27214415,999.0
82,2011,NonCore (Nonmetro),214778,19106898,1124.1
83,2011,Total,2515458,311591917,807.3
84,2012,Large Central Metro,665753,95794160,695.0
85,2012,Large Fringe Metro,577213,77488865,744.9
86,2012,Medium Metro,549033,65473964,838.6
87,2012,Small Metro,261996,28907451,906.3
88,2012,Micropolitan (Nonmetro),273597,27216731,1005.3
89,2012,NonCore (Nonmetro),215687,19032869,1133.2
90,2012,Total,2543279,313914040,810.2
91,2013,Large Central Metro,678706,96739043,701.6
92,2013,Large Fringe Metro,590246,78203382,754.8
93,2013,Medium Metro,561528,65931102,851.7
94,2013,Small Metro,268092,29037715,923.3
95,2013,Micropolitan (Nonmetro),279386,27220343,1026.4
96,2013,NonCore (Nonmetro),219035,18997254,1153.0
97,2013,Total,2596993,316128839,821.5
98,2014,Large Central Metro,681997,97933810,696.4
99,2014,Large Fringe Metro,600649,79063551,759.7
100,2014,Medium Metro,571318,66466520,859.6
101,2014,Small Metro,271460,29204061,929.5
102,2014,Micropolitan (Nonmetro),280191,27242864,1028.5
103,2014,NonCore (Nonmetro),220803,18946250,1165.4
104,2014,Total,2626418,318857056,823.7
105,2015,Large Central Metro,702374,98997449,709.5
106,2015,Large Fringe Metro,622163,79867097,779.0
107,2015,Medium Metro,590476,67041154,880.8
108,2015,Small Metro,281098,29346517,957.9
109,2015,Micropolitan (Nonmetro),289758,27260617,1062.9
110,2015,NonCore (Nonmetro),226761,18905986,1199.4
111,2015,Total,2712630,321418820,844.0
112,2016,Large Central Metro,713257,99544525,716.5
113,2016,Large Fringe Metro,633171,80496977,786.6
114,2016,Medium Metro,597343,67510722,884.8
115,2016,Small Metro,283500,29464705,962.2
116,2016,Micropolitan (Nonmetro),290565,27257909,1066.0
117,2016,NonCore (Nonmetro),226412,18852675,1201.0
118,2016,Total,2744248,323127513,849.3
119,2017,Large Central Metro,727181,100601976,722.8
120,2017,Large Fringe Metro,652281,81361310,801.7
121,2017,Medium Metro,614726,68056063,903.3
122,2017,Small Metro,291275,29617090,983.5
123,2017,Micropolitan (Nonmetro),297517,27260845,1091.4
124,2017,NonCore (Nonmetro),230523,18821894,1224.8
125,2017,Total,2813503,325719178,863.8
