,ZipCodes,FIPS
0,70175,22071
1,11542,36059
2,11547,36059
3,11545,36059
4,11548,36059
5,19399,42029
6,19398,42029
7,19397,42029
8,19395,42029
9,19390,42029
10,82443,56017
11,82442,56043
12,82441,56003
13,82440,56029
14,46135,18133
15,46133,18041
16,46131,18081
17,46130,18145
18,70179,22071
19,19973,10005
20,19971,10005
21,19970,10005
22,19977,10001
23,19975,10005
24,73622,40149
25,19979,10001
26,16701,42083
27,88023,35017
28,46704,18003
29,88021,35013
30,88020,35023
31,12019,36091
32,12018,36083
33,3246,33001
34,42086,21145
35,12015,36039
36,12017,36021
37,88028,35017
38,12010,36057
39,94080,06081
40,64674,29115
41,64676,29041
42,64677,29115
43,64670,29061
44,64671,29025
45,64672,29171
46,64673,29129
47,17250,42055
48,17251,42055
49,17252,42055
50,17253,42061
51,17254,42055
52,17255,42061
53,17256,42055
54,17257,42041
55,63025,29099
56,10709,36119
57,10708,36119
58,63020,29099
59,42081,21139
60,54546,55003
61,63023,29099
62,10703,36119
63,10702,36119
64,10701,36119
65,80279,08031
66,10707,36119
67,10706,36119
68,10705,36119
69,10704,36119
70,46793,18033
71,46792,18069
72,46791,18179
73,46790,18179
74,21619,24035
75,46796,18113
76,46795,18087
77,46794,18113
78,21617,24035
79,46798,18003
80,21611,24019
81,21610,24001
82,21613,24019
83,21612,24041
84,54541,55041
85,4047,23031
86,69170,31111
87,69171,31047
88,4046,23031
89,72629,05141
90,45448,39113
91,45449,39113
92,4041,23017
93,45444,39113
94,80271,08031
95,45440,39113
96,4040,23005
97,44799,39151
98,54540,55125
99,4043,23031
100,4042,23031
101,46869,18003
102,46868,18003
103,58079,38017
104,58078,38017
105,46861,18003
106,46860,18003
107,46863,18003
108,46862,18003
109,46865,18003
110,46864,18003
111,46867,18003
112,46866,18003
113,54543,55085
114,4049,23031
115,97028,41005
116,90310,06037
117,62360,17001
118,90312,06037
119,62361,17149
120,54542,55037
121,99606,02070
122,96130,06035
123,13052,36053
124,13053,36109
125,13050,36023
126,13051,36067
127,13056,36023
128,13057,36067
129,13054,36065
130,13055,36023
131,54170,55087
132,54171,55083
133,54173,55009
134,54174,55083
135,54175,55083
136,54176,55083
137,54177,55075
138,94541,06001
139,94540,06001
140,94543,06001
141,94542,06001
142,62089,17135
143,62088,17117
144,94547,06013
145,94546,06001
146,62085,17117
147,62084,17119
148,62087,17119
149,62086,17005
150,62081,17061
151,62080,17051
152,62083,17021
153,62082,17061
154,20250,11001
155,20251,11001
156,16882,42027
157,44427,39029
158,40964,21095
159,44424,39155
160,40962,21051
161,44422,39099
162,44420,39155
163,44429,39099
164,44428,39155
165,23509,51710
166,23508,51710
167,23507,51710
168,23506,51710
169,7675,34003
170,23504,51710
171,23503,51710
172,23502,51710
173,23501,51710
174,7670,34003
175,40328,21021
176,27619,37183
177,40329,21205
178,27615,37183
179,27614,37183
180,27613,37183
181,27612,37183
182,27611,37183
183,27610,37183
184,59038,30103
185,59039,30087
186,59032,30027
187,59033,30097
188,59030,30067
189,59031,30003
190,59036,30107
191,59037,30111
192,59034,30003
193,59035,30003
194,12833,36091
195,12832,36115
196,12831,36091
197,12837,36115
198,12836,36113
199,12835,36091
200,12834,36115
201,12839,36115
202,12838,36115
203,92262,06065
204,92263,06065
205,92260,06065
206,92261,06065
207,92266,06025
208,92267,06071
209,92264,06065
210,92268,06071
211,92269,06025
212,66506,20161
213,66507,20197
214,66501,20197
215,66502,20161
216,66508,20117
217,66509,20085
218,6108,09003
219,6109,09003
220,6106,09003
221,6107,09003
222,6104,09003
223,6105,09003
224,6102,09003
225,6103,09003
226,6101,09003
227,60902,17091
228,60901,17091
229,26568,54033
230,26566,54049
231,26562,54103
232,26563,54049
233,26560,54049
234,26561,54103
235,70789,22037
236,48919,26065
237,65264,29007
238,65265,29007
239,48918,26065
240,65260,29175
