,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
0,"Autauga County, Alabama",1001,75.67,AL-Autauga County,"8,848 ","10,413 "
1,"Baldwin County, Alabama",1003,78.08,AL-Baldwin County,"8,427 ","9,883 "
2,"Barbour County, Alabama",1005,75.42,AL-Barbour County,"8,979 ","10,704 "
3,"Bibb County, Alabama",1007,73.97,AL-Bibb County,"9,550 ","10,860 "
4,"Blount County, Alabama",1009,76.16,AL-Blount County,"9,860 ","11,179 "
5,"Bullock County, Alabama",1011,73.86,AL-Bullock County,"8,624 ","10,252 "
6,"Butler County, Alabama",1013,73.39,AL-Butler County,"8,746 ","10,425 "
7,"Calhoun County, Alabama",1015,74.02,AL-Calhoun County,"9,421 ","11,243 "
8,"Chambers County, Alabama",1017,74.06,AL-Chambers County,"8,033 ","9,505 "
9,"Cherokee County, Alabama",1019,75.08,AL-Cherokee County,"10,263 ","11,691 "
10,"Chilton County, Alabama",1021,74.53,AL-Chilton County,"9,616 ","10,876 "
11,"Choctaw County, Alabama",1023,75.29,AL-Choctaw County,"9,753 ","11,161 "
12,"Clarke County, Alabama",1025,75.46,AL-Clarke County,"8,491 ","10,025 "
13,"Clay County, Alabama",1027,75.06,AL-Clay County,"8,676 ","10,079 "
14,"Cleburne County, Alabama",1029,74.30,AL-Cleburne County,"10,131 ","11,851 "
15,"Coffee County, Alabama",1031,76.48,AL-Coffee County,"8,560 ","10,256 "
16,"Colbert County, Alabama",1033,75.07,AL-Colbert County,"9,063 ","11,110 "
17,"Conecuh County, Alabama",1035,74.05,AL-Conecuh County,"9,634 ","11,436 "
18,"Coosa County, Alabama",1037,75.19,AL-Coosa County,"9,487 ","11,223 "
19,"Covington County, Alabama",1039,75.15,AL-Covington County,"9,825 ","11,830 "
20,"Crenshaw County, Alabama",1041,74.07,AL-Crenshaw County,"8,537 ","10,103 "
21,"Cullman County, Alabama",1043,75.31,AL-Cullman County,"9,488 ","10,548 "
22,"Dale County, Alabama",1045,76.26,AL-Dale County,"8,960 ","10,873 "
23,"Dallas County, Alabama",1047,72.39,AL-Dallas County,"8,822 ","10,222 "
24,"DeKalb County, Alabama",1049,75.25,AL-DeKalb County,"8,930 ","10,406 "
