,FIPS,Location,Life Expectancy,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
0,1001,"Autauga County, Alabama",75.67,0.3773,0.3298,0.5568,0.5976,0.2881
1,1009,"Blount County, Alabama",76.16,0.4986,0.6609,0.4664,0.5992,0.1827
2,1017,"Chambers County, Alabama",74.06,0.8408,0.7689,0.7615,0.5798,0.8596
3,1031,"Coffee County, Alabama",76.48,0.5266,0.5072,0.8507,0.7313,0.1624
4,1033,"Colbert County, Alabama",75.07,0.4333,0.6345,0.7326,0.3642,0.1175
5,1039,"Covington County, Alabama",75.15,0.695,0.8214,0.8516,0.4686,0.2802
6,1043,"Cullman County, Alabama",75.31,0.4909,0.6558,0.3613,0.4174,0.3531
7,1045,"Dale County, Alabama",76.26,0.7463,0.7571,0.7832,0.639,0.4572
8,1051,"Elmore County, Alabama",75.93,0.5415,0.51,0.5384,0.6097,0.4801
9,1055,"Etowah County, Alabama",73.85,0.7335,0.7609,0.7679,0.6721,0.4043
10,1067,"Henry County, Alabama",75.97,0.596,0.6536,0.6593,0.6157,0.3222
11,1069,"Houston County, Alabama",76.81,0.6819,0.6635,0.8746,0.6348,0.3477
12,1071,"Jackson County, Alabama",74.13,0.5788,0.8138,0.5018,0.3661,0.2935
13,1077,"Lauderdale County, Alabama",76.50,0.5396,0.6097,0.32,0.4429,0.5868
14,1079,"Lawrence County, Alabama",74.33,0.4858,0.7861,0.5135,0.3457,0.1436
15,1083,"Limestone County, Alabama",77.21,0.5269,0.5431,0.2541,0.6412,0.5409
16,1089,"Madison County, Alabama",78.07,0.3034,0.2687,0.1315,0.7367,0.3582
17,1097,"Mobile County, Alabama",75.13,0.787,0.7001,0.6991,0.6963,0.7485
18,1103,"Morgan County, Alabama",76.21,0.7192,0.6654,0.7428,0.7437,0.5002
19,1111,"Randolph County, Alabama",74.65,0.8029,0.852,0.7106,0.3349,0.8077
20,1115,"Saint Clair County, Alabama",74.98,0.3289,0.504,0.2833,0.3948,0.24100000000000002
21,1117,"Shelby County, Alabama",79.53,0.1073,0.0672,0.0748,0.6839,0.1617
22,1123,"Tallapoosa County, Alabama",75.01,0.9093,0.872,0.8905,0.51,0.8997
23,2122,"Kenai Peninsula Borough, Alaska",78.61,0.3645,0.2445,0.2649,0.4588,0.7287
24,2261,"Valdez-Cordova Census Area, Alaska",78.00,0.4699,0.212,0.099,0.7841,0.9325
