"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	47	208563	0.22535
	"Barbour County, AL"	"01005"	11	25965	Unreliable
	"Calhoun County, AL"	"01015"	25	114611	0.21813
	"Colbert County, AL"	"01033"	15	54216	Unreliable
	"Covington County, AL"	"01039"	14	37458	Unreliable
	"Cullman County, AL"	"01043"	29	82471	0.35164
	"Dallas County, AL"	"01047"	13	40008	Unreliable
	"DeKalb County, AL"	"01049"	16	70900	Unreliable
	"Elmore County, AL"	"01051"	19	81799	Unreliable
	"Escambia County, AL"	"01053"	21	37728	0.55662
	"Etowah County, AL"	"01055"	29	102564	0.28275
	"Houston County, AL"	"01069"	20	104056	0.19220
	"Jackson County, AL"	"01071"	11	52138	Unreliable
	"Jefferson County, AL"	"01073"	151	659521	0.22895
	"Lauderdale County, AL"	"01077"	26	92318	0.28164
	"Lawrence County, AL"	"01079"	16	33244	Unreliable
	"Lee County, AL"	"01081"	15	158991	Unreliable
	"Limestone County, AL"	"01083"	14	92753	Unreliable
	"Madison County, AL"	"01089"	71	356967	0.19890
	"Marshall County, AL"	"01095"	25	95157	0.26272
	"Mobile County, AL"	"01097"	63	414836	0.15187
	"Montgomery County, AL"	"01101"	39	226349	0.17230
	"Morgan County, AL"	"01103"	23	119012	0.19326
	"Russell County, AL"	"01113"	12	58172	Unreliable
	"St. Clair County, AL"	"01115"	19	88019	Unreliable
	"Shelby County, AL"	"01117"	25	210622	0.11870
	"Talladega County, AL"	"01121"	18	80103	Unreliable
	"Tuscaloosa County, AL"	"01125"	29	206102	0.14071
	"Walker County, AL"	"01127"	31	64967	0.47717
	"Anchorage Borough, AK"	"02020"	23	298192	0.07713
	"Matanuska-Susitna Borough, AK"	"02170"	12	104365	Unreliable
	"Apache County, AZ"	"04001"	11	73112	Unreliable
	"Cochise County, AZ"	"04003"	34	125770	0.27033
	"Coconino County, AZ"	"04005"	11	140908	Unreliable
	"Gila County, AZ"	"04007"	14	53556	Unreliable
	"Maricopa County, AZ"	"04013"	162	4242997	0.03818
	"Mohave County, AZ"	"04015"	46	205249	0.22412
	"Navajo County, AZ"	"04017"	18	110026	Unreliable
	"Pima County, AZ"	"04019"	101	1016206	0.09939
	"Pinal County, AZ"	"04021"	35	418540	0.08362
	"Yavapai County, AZ"	"04025"	24	225562	0.10640
	"Yuma County, AZ"	"04027"	20	205631	0.09726
	"Arkansas County, AR"	"05001"	11	18214	Unreliable
	"Baxter County, AR"	"05005"	28	41062	0.68190
	"Benton County, AR"	"05007"	26	258291	0.10066
	"Boone County, AR"	"05009"	10	37304	Unreliable
	"Clark County, AR"	"05019"	12	22657	Unreliable
	"Clay County, AR"	"05021"	10	14920	Unreliable
	"Cleburne County, AR"	"05023"	11	25264	Unreliable
	"Craighead County, AR"	"05031"	20	105835	0.18897
	"Crittenden County, AR"	"05035"	10	49235	Unreliable
	"Faulkner County, AR"	"05045"	23	122227	0.18817
	"Garland County, AR"	"05051"	31	97477	0.31802
	"Greene County, AR"	"05055"	16	44598	Unreliable
	"Jefferson County, AR"	"05069"	24	70016	0.34278
	"Lonoke County, AR"	"05085"	18	72228	Unreliable
	"Polk County, AR"	"05113"	13	20173	Unreliable
	"Pope County, AR"	"05115"	18	63779	Unreliable
	"Pulaski County, AR"	"05119"	78	393250	0.19835
	"St. Francis County, AR"	"05123"	11	26196	Unreliable
	"Saline County, AR"	"05125"	39	118703	0.32855
	"Sebastian County, AR"	"05131"	30	127793	0.23475
	"Union County, AR"	"05139"	13	39887	Unreliable
	"Van Buren County, AR"	"05141"	12	16628	Unreliable
	"Washington County, AR"	"05143"	14	228049	Unreliable
	"White County, AR"	"05145"	19	79263	Unreliable
	"Alameda County, CA"	"06001"	125	1647704	0.07586
	"Butte County, CA"	"06007"	23	226864	0.10138
	"Calaveras County, CA"	"06009"	13	45171	Unreliable
	"Contra Costa County, CA"	"06013"	118	1135127	0.10395
	"El Dorado County, CA"	"06017"	16	185625	Unreliable
	"Fresno County, CA"	"06019"	97	979915	0.09899
	"Imperial County, CA"	"06025"	10	180883	Unreliable
	"Kern County, CA"	"06029"	103	884788	0.11641
	"Kings County, CA"	"06031"	14	149785	Unreliable
	"Lake County, CA"	"06033"	21	64116	0.32753
	"Los Angeles County, CA"	"06037"	1182	10137915	0.11659
	"Madera County, CA"	"06039"	17	154697	Unreliable
	"Marin County, CA"	"06041"	23	260651	0.08824
