"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Lincoln County, OR"	"41041"	24	47806	0.50203
	"Yavapai County, AZ"	"04025"	82	225562	0.36354
	"Creek County, OK"	"40037"	25	71312	0.35057
	"Mohave County, AZ"	"04015"	71	205249	0.34592
	"Mesa County, CO"	"08077"	51	150083	0.33981
	"Harrison County, TX"	"48203"	22	66534	0.33066
	"Hamblen County, TN"	"47063"	21	63785	0.32923
	"Schuylkill County, PA"	"42107"	47	143573	0.32736
	"Navajo County, AZ"	"04017"	36	110026	0.32720
	"Raleigh County, WV"	"54081"	25	76601	0.32637
	"Santa Fe County, NM"	"35049"	48	148651	0.32290
	"Otero County, NM"	"35035"	21	65410	0.32105
	"Daviess County, KY"	"21059"	32	99674	0.32105
	"Putnam County, TN"	"47141"	24	75931	0.31608
	"Carbon County, PA"	"42025"	20	63594	0.31450
	"Pottawatomie County, OK"	"40125"	22	72290	0.30433
	"Washington County, UT"	"49053"	48	160245	0.29954
	"Weber County, UT"	"49057"	72	247560	0.29084
	"Missoula County, MT"	"30063"	33	116130	0.28416
	"Franklin County, MO"	"29071"	29	102838	0.28200
	"El Paso County, CO"	"08041"	194	688284	0.28186
	"San Juan County, NM"	"35045"	32	115079	0.27807
	"Washoe County, NV"	"32031"	126	453616	0.27777
	"Douglas County, OR"	"41019"	30	108457	0.27661
	"Apache County, AZ"	"04001"	20	73112	0.27355
	"Burke County, NC"	"37023"	24	88851	0.27012
	"Pickens County, SC"	"45077"	33	122863	0.26859
	"Rapides Parish, LA"	"22079"	35	132424	0.26430
	"Taylor County, TX"	"48441"	36	136535	0.26367
	"Humboldt County, CA"	"06023"	36	136646	0.26345
	"Nassau County, FL"	"12089"	21	80622	0.26047
	"Jasper County, MO"	"29097"	31	119111	0.26026
	"Gallatin County, MT"	"30031"	27	104502	0.25837
	"Santa Rosa County, FL"	"12113"	44	170497	0.25807
	"Elmore County, AL"	"01051"	21	81799	0.25673
	"Flathead County, MT"	"30029"	25	98082	0.25489
	"Laramie County, WY"	"56021"	25	98136	0.25475
	"Yellowstone County, MT"	"30111"	40	158437	0.25247
	"Cambria County, PA"	"42021"	34	134732	0.25235
	"Bay County, FL"	"12005"	46	183974	0.25004
	"Floyd County, GA"	"13115"	24	96560	0.24855
	"Fairbanks North Star Borough, AK"	"02090"	25	100605	0.24850
	"Clearfield County, PA"	"42033"	20	80596	0.24815
	"Kanawha County, WV"	"54039"	46	186241	0.24699
	"Josephine County, OR"	"41033"	21	85904	0.24446
	"Linn County, OR"	"41043"	30	122849	0.24420
	"Bartow County, GA"	"13015"	25	103807	0.24083
