,County,County Code,Total_Deaths,Population,Total_Death_Rate,Accident_Deaths,Accident_Death_Rate,Alzheimer_Deaths,Alzheimer_Death_Rate,Cancer_Deaths,Cancer_Death_Rate,Diabetes_Deaths,Diabetes_Death_Rate,Flu_Deaths,Flu_Death_Rate,Heart_Deaths,Heart_Death_Rate,Kidney_Deaths,Kidney_Death_Rate,LowerResp_Deaths,LowerResp_Death_Rate,Stroke_Deaths,Stroke_Death_Rate,Suicide_Deaths,Suicide_Death_Rate
0,"Autauga County, AL",1001,520,55416,9.383571531687599,30.0,0.5413598960589,20.0,0.3609065973726,106.0,1.9128049660747797,19.0,0.34286126750396995,,,118.0,2.12934892449834,,,37.0,0.66767720513931,36.0,0.64963187527068,14.0,0.25263461816081995
1,"Baldwin County, AL",1003,1974,208563,9.464766041915393,98.0,0.469882002080906,63.0,0.3020670013377253,461.0,2.2103632955030372,19.0,0.0910995718320124,24.0,0.11507314336675249,492.0,2.3589994390184263,47.0,0.22535157242655696,119.0,0.5705710025268145,110.0,0.5274185737642823,42.0,0.20137800089181687
2,"Barbour County, AL",1005,256,25965,9.859426150587328,10.0,0.38513383400731754,,,59.0,2.2722896206431735,,,,,67.0,2.580396687849028,11.0,0.4236472174080493,11.0,0.4236472174080493,20.0,0.7702676680146351,,
3,"Bibb County, AL",1007,239,22643,10.555138453385153,26.0,1.1482577396988032,,,55.0,2.4290067570551606,,,,,63.0,2.7823168308086386,,,13.0,0.5741288698494016,15.0,0.6624563882877711,,
4,"Blount County, AL",1009,697,57704,12.078885345903231,54.0,0.935810342437266,27.0,0.467905171218633,155.0,2.686122279218078,,,26.0,0.45057535006238736,154.0,2.6687924580618327,,,63.0,1.0917787328434772,36.0,0.623873561624844,11.0,0.19062803271870235
5,"Bullock County, AL",1011,133,10362,12.835359969117931,10.0,0.9650646593321753,12.0,1.1580775911986103,37.0,3.5707392395290483,,,,,31.0,2.991700443929743,,,,,,,,
6,"Butler County, AL",1013,275,19998,13.751375137513751,12.0,0.6000600060006,13.0,0.6500650065006501,49.0,2.45024502450245,14.0,0.7000700070007001,,,70.0,3.5003500350035,,,17.0,0.8500850085008501,25.0,1.2501250125012502,,
7,"Calhoun County, AL",1015,1404,114611,12.250133058781444,64.0,0.5584106237621171,60.0,0.5235099597769848,271.0,2.3645199849927145,15.0,0.1308774899442462,27.0,0.23557948189964312,454.0,3.961225362312518,25.0,0.21812914990707696,109.0,0.9510430935948556,51.0,0.444983465810437,25.0,0.21812914990707696
8,"Chambers County, AL",1017,460,33843,13.592175634547765,31.0,0.9159944449369146,29.0,0.8568980291345331,94.0,2.7775315427119347,21.0,0.6205123659250067,,,100.0,2.9548207901190793,,,32.0,0.9455426528381053,27.0,0.7978016133321515,15.0,0.4432231185178619
9,"Cherokee County, AL",1019,361,25725,14.03304178814383,24.0,0.9329446064139942,22.0,0.8551992225461613,79.0,3.0709426627793976,,,11.0,0.42759961127308066,91.0,3.5374149659863945,,,20.0,0.7774538386783285,11.0,0.42759961127308066,,
10,"Chilton County, AL",1021,475,43941,10.809949705286634,23.0,0.5234291436244055,14.0,0.31860904394529027,87.0,1.9799276302314468,,,,,153.0,3.481941694544958,,,31.0,0.7054914544502856,25.0,0.5689447213308755,,
11,"Choctaw County, AL",1023,180,12993,13.853613484183791,,,14.0,1.0775032709920727,24.0,1.8471484645578389,,,,,57.0,4.386977603324867,,,,,20.0,1.5392903871315324,,
12,"Clarke County, AL",1025,315,24392,12.914070186946539,13.0,0.5329616267628731,15.0,0.6149557231879305,54.0,2.21384060347655,12.0,0.49196457855034437,,,92.0,3.77172843555264,,,20.0,0.819940964250574,14.0,0.5739586749754018,,
13,"Clay County, AL",1027,177,13492,13.118885265342426,,,,,36.0,2.6682478505781204,,,,,59.0,4.372961755114142,,,12.0,0.8894159501927068,,,,
14,"Cleburne County, AL",1029,191,14924,12.798177432323772,14.0,0.9380863039399625,,,36.0,2.412221924417046,,,,,63.0,4.221388367729832,,,19.0,1.2731171267756634,,,,
15,"Coffee County, AL",1031,508,51226,9.91683910514192,27.0,0.5270760941709288,32.0,0.6246827782766564,94.0,1.8350056611876782,,,11.0,0.21473470503260064,131.0,2.557295123570062,,,34.0,0.6637254519189475,26.0,0.5075547573497833,10.0,0.19521336821145513
16,"Colbert County, AL",1033,707,54216,13.040430869116129,18.0,0.33200531208499334,39.0,0.719344842850819,139.0,2.56381879887856,10.0,0.1844473956027741,11.0,0.2028921351630515,161.0,2.9696030692046627,15.0,0.27667109340416113,56.0,1.032905415375535,38.0,0.7009001032905415,,
17,"Conecuh County, AL",1035,153,12395,12.343686970552643,,,,,33.0,2.662363856393707,,,,,40.0,3.227107704719645,,,11.0,0.8874546187979023,16.0,1.290843081887858,,
18,"Coosa County, AL",1037,160,10581,15.12144409791135,14.0,1.3231263585672433,,,32.0,3.02428881958227,,,,,41.0,3.874870050089784,,,12.0,1.1341083073433513,,,,
19,"Covington County, AL",1039,503,37458,13.428373111217898,13.0,0.3470553686795878,23.0,0.6140210368946554,89.0,2.3759944471141012,11.0,0.2936622350365743,14.0,0.3737519355010946,131.0,3.4972502536173846,14.0,0.3737519355010946,48.0,1.281435207432324,30.0,0.8008970046452026,,
20,"Crenshaw County, AL",1041,191,13913,13.728167900524689,,,21.0,1.509379716811615,44.0,3.1625098828433837,,,,,38.0,2.7312585351829224,,,21.0,1.509379716811615,11.0,0.7906274707108459,,
21,"Cullman County, AL",1043,1012,82471,12.270980102096495,55.0,0.6669010925052442,62.0,0.751779413369548,172.0,2.0855815983800365,33.0,0.40014065550314654,10.0,0.12125474409186258,245.0,2.9707412302506335,29.0,0.35163875786640153,83.0,1.0064143759624595,54.0,0.654775618096058,19.0,0.23038401377453893
22,"Dale County, AL",1045,550,49226,11.172957380246212,34.0,0.6906919107788567,25.0,0.5078616991021006,107.0,2.17364807215699,16.0,0.3250314874253443,,,136.0,2.762767643115427,,,39.0,0.7922642505992767,29.0,0.5891195709584366,,
23,"Dallas County, AL",1047,571,40008,14.272145570885822,26.0,0.649870025994801,39.0,0.9748050389922015,116.0,2.8994201159768047,,,,,164.0,4.0991801639672065,13.0,0.3249350129974005,22.0,0.5498900219956009,31.0,0.7748450309938012,,
24,"DeKalb County, AL",1049,792,70900,11.170662905500706,53.0,0.7475317348377998,21.0,0.29619181946403383,133.0,1.8758815232722144,30.0,0.4231311706629055,25.0,0.3526093088857546,211.0,2.9760225669957685,16.0,0.22566995768688294,71.0,1.001410437235543,39.0,0.5500705218617772,10.0,0.14104372355430184
25,"Elmore County, AL",1051,799,81799,9.767845572684262,49.0,0.5990293279868948,55.0,0.6723798579444736,168.0,2.0538148388122104,17.0,0.20782650154647367,10.0,0.12225088326263156,171.0,2.090490103791,19.0,0.23227667819899997,46.0,0.5623540630081053,44.0,0.537903886355579,21.0,0.2567268548515263
26,"Escambia County, AL",1053,522,37728,13.83587786259542,22.0,0.5831212892281594,13.0,0.34457167090754875,94.0,2.491518235793045,28.0,0.7421543681085666,14.0,0.3710771840542833,112.0,2.9686174724342664,21.0,0.5566157760814249,24.0,0.6361323155216285,32.0,0.8481764206955047,10.0,0.2650551314673452
27,"Etowah County, AL",1055,1389,102564,13.542763542763543,81.0,0.7897507897507897,80.0,0.78000078000078,238.0,2.3205023205023205,32.0,0.312000312000312,26.0,0.25350025350025346,382.0,3.7245037245037245,29.0,0.28275028275028274,121.0,1.1797511797511797,58.0,0.5655005655005655,17.0,0.16575016575016574
28,"Fayette County, AL",1057,249,16546,15.048954430073733,,,15.0,0.9065635198839599,61.0,3.6866916475281033,,,,,60.0,3.6262540795358396,,,19.0,1.148313791853016,11.0,0.6648132479149039,,
29,"Franklin County, AL",1059,376,31628,11.888200328822563,14.0,0.44264575692424435,13.0,0.4110282028582269,68.0,2.1499936764891867,,,,,83.0,2.624256987479449,,,39.0,1.2330846085746807,25.0,0.7904388516504364,,
30,"Geneva County, AL",1061,379,26614,14.240625234838806,,,23.0,0.8642068084466822,76.0,2.855639888780341,15.0,0.5636131359434884,,,101.0,3.7949951153528216,,,29.0,1.0896520628240776,16.0,0.6011873450063876,,
31,"Greene County, AL",1063,104,8422,12.348610781287105,,,,,18.0,2.1372595582996916,,,,,31.0,3.6808359059605795,,,,,,,,
32,"Hale County, AL",1065,189,14952,12.640449438202246,,,,,40.0,2.675227394328518,,,,,57.0,3.812199036918138,,,,,13.0,0.8694489031567684,,
33,"Henry County, AL",1067,215,17164,12.526217664879981,,,16.0,0.932183640177115,40.0,2.3304591004427873,,,,,56.0,3.2626427406199023,,,,,14.0,0.8156606851549756,,
34,"Houston County, AL",1069,1112,104056,10.686553394326133,52.0,0.4997309141231644,73.0,0.701545321749827,220.0,2.114246175136465,15.0,0.14415314830475898,11.0,0.10571230875682325,258.0,2.479434150841854,20.0,0.19220419773967862,49.0,0.47090028446221266,53.0,0.5093411240101483,10.0,0.09610209886983931
35,"Jackson County, AL",1071,736,52138,14.116383443937245,35.0,0.6712954083394069,42.0,0.8055544900072883,150.0,2.8769803214546013,13.0,0.24933829452606543,14.0,0.2685181633357628,200.0,3.8359737619394685,11.0,0.21097855690667075,70.0,1.3425908166788139,40.0,0.7671947523878937,14.0,0.2685181633357628
36,"Jefferson County, AL",1073,7137,659521,10.821490142087969,447.0,0.677764620080331,341.0,0.5170419137525568,1413.0,2.1424640003881605,151.0,0.22895404391975388,139.0,0.21075902056189263,1397.0,2.118203969244346,151.0,0.22895404391975388,297.0,0.4503268281070656,490.0,0.7429634537793338,84.0,0.12736516350502866
37,"Lamar County, AL",1075,205,13918,14.729127748239689,12.0,0.8621928437993964,,,43.0,3.0895243569478374,,,,,55.0,3.9517172007472334,,,17.0,1.221439862049145,11.0,0.7903434401494467,,
38,"Lauderdale County, AL",1077,1161,92318,12.576095669316926,50.0,0.5416061873090838,82.0,0.8882341471868974,217.0,2.350570852921424,12.0,0.1299854849541801,29.0,0.3141315886392686,291.0,3.1521480101388675,26.0,0.28163521740072356,70.0,0.7582486622327174,65.0,0.704088043501809,20.0,0.21664247492363353
39,"Lawrence County, AL",1079,400,33244,12.03224642040669,25.0,0.7520154012754181,10.0,0.30080616051016723,75.0,2.2560462038262545,,,14.0,0.4211286247142342,111.0,3.3389483816628562,16.0,0.4812898568162676,24.0,0.7219347852244014,21.0,0.6316929370713512,,
40,"Lee County, AL",1081,1007,158991,6.333691844192439,59.0,0.37109018749488965,48.0,0.3019038813517746,217.0,1.3648571302778145,53.0,0.33335220232591783,,,222.0,1.3963054512519577,15.0,0.09434496292242957,70.0,0.4402764936380047,36.0,0.22642791101383097,17.0,0.10692429131208685
41,"Limestone County, AL",1083,727,92753,7.838021411706361,36.0,0.38812760773236443,35.0,0.3773462852953543,182.0,1.9622006835358423,,,,,207.0,2.2317337444610956,14.0,0.15093851411814174,54.0,0.5821914115985467,35.0,0.3773462852953543,10.0,0.10781322437010124
42,"Lowndes County, AL",1085,148,10358,14.28847267812319,10.0,0.9654373431164317,,,36.0,3.4755744352191544,,,,,30.0,2.8963120293492954,,,,,,,,
43,"Macon County, AL",1087,259,18963,13.658176448874123,,,11.0,0.5800769920371249,58.0,3.0585877761957496,,,,,79.0,4.166007488266624,,,,,14.0,0.7382798080472499,,
44,"Madison County, AL",1089,3282,356967,9.194127188227483,164.0,0.4594262214714525,189.0,0.5294607064518569,672.0,1.882526956273269,69.0,0.19329517854591602,38.0,0.10645241717021461,737.0,2.0646166172223204,71.0,0.19889793734434838,181.0,0.5070496712581275,174.0,0.48744001546361426,76.0,0.21290483434042923
45,"Marengo County, AL",1091,270,19673,13.7243938392721,16.0,0.8132974126976058,,,53.0,2.6940476795608195,,,,,91.0,4.625629034717633,,,14.0,0.7116352361104051,15.0,0.7624663244040054,,
46,"Marion County, AL",1093,388,29998,12.934195613040869,21.0,0.7000466697779852,15.0,0.5000333355557037,68.0,2.2668177878525237,,,11.0,0.3666911127408494,129.0,4.300286685779052,,,22.0,0.7333822254816988,27.0,0.9000600040002666,,
47,"Marshall County, AL",1095,1187,95157,12.474121714640017,57.0,0.5990100570635896,65.0,0.683081644019883,227.0,2.3855312798848223,14.0,0.14712527717351323,34.0,0.3573042445642465,298.0,3.131666614121925,25.0,0.2627237092384165,94.0,0.9878411467364461,72.0,0.7566442826066396,17.0,0.17865212228212324
48,"Mobile County, AL",1097,4411,414836,10.633117665776355,183.0,0.4411381847284228,170.0,0.4098004994744911,867.0,2.089982547319905,106.0,0.2555226643782121,81.0,0.19525788504372812,1125.0,2.7119150700517793,63.0,0.15186724392289966,255.0,0.6147007492117368,248.0,0.5978266109980812,70.0,0.16874138213655518
49,"Monroe County, AL",1099,237,21530,11.007895959126799,16.0,0.7431490942870413,,,41.0,1.9043195541105435,,,,,49.0,2.2758941012540643,,,17.0,0.7895959126799814,20.0,0.9289363678588017,,
50,"Montgomery County, AL",1101,2150,226349,9.498606134774176,94.0,0.4152878961250105,140.0,0.6185138878457603,405.0,1.7892723184109496,92.0,0.40645198344149963,34.0,0.15021051561968465,436.0,1.9262289650053679,39.0,0.1723002973284618,105.0,0.46388541588432025,151.0,0.66711140760507,30.0,0.1325386902526629
