,Unnamed: 0,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)",FID,ST,STATE,ST_ABBR,COUNTY,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
1760,1760,"Pershing County, Nevada",32027,78.36,NV-Pershing County,"9,100 ","8,360 ",2772,32,NEVADA,NV,Pershing,"Pershing County, Nevada",6036.5858259999995,6690,0,2403,95,2016,139,767,231,78,44,17631,2386,1091,169,990,69,1165,66,884,154,177,72.1,2259,8.0,280,140.0,75,39.6,871,168,147,75.9,137,68,2038,203,16.4,5.0,3.5,2.0,17631,2386,21.8,3.3,14.8,1.0,17.4,1.0,18.9,3.3,8.8,3.5,33.8,0.1,4.4,2.2,3.1,1.6,36.2,6.8,7.3,3.7,6.8,3.3,30.5,3.0,0.5466,0.1067,0.9379,0.8647,2.4559,0.6523,0.2521,0.0541,0.7628,0.5686,1.6377,0.2245,0.7396,0.8984,1.6380000000000001,0.873,0.5314,0.9803,0.9698,0.6425,0.9949,4.1188,0.9981,9.8504,0.8644,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4,815,193,17.5,3.9,5497
1735,1735,"Sherman County, Nebraska",31163,80.24,NE-Sherman County,"7,530 ","7,930 ",1769,31,NEBRASKA,NE,Sherman,"Sherman County, Nebraska",565.8283277,3090,0,1940,39,1367,94,402,104,35,23,26348,2278,168,41,807,8,667,26,462,72,106,37.4,95,9.0,1,35.0,3,5.0,273,70,20,13.2,45,16,60,80,13.3,3.5,2.2,1.5,26348,2278,7.5,1.8,26.1,0.3,21.6,0.8,15.2,2.2,7.8,2.7,3.1,0.3,0.0,1.2,0.2,0.3,14.1,3.7,1.5,1.0,3.3,1.1,1.9,2.6,0.3483,0.0411,0.3454,0.1238,0.8586,0.1656,0.9567,0.3671,0.483,0.3878,2.1945,0.6437,0.0331,0.0605,0.0936,0.0223,0.0379,0.6138,0.3407,0.1076,0.4973,1.5973,0.1105,4.744,0.0977,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,233,68,7.7,2.3,2216
1186,1186,"Penobscot County, Maine",23019,78.64,ME-Penobscot County,"9,580 ","10,259 ",457,23,MAINE,ME,Penobscot,"Penobscot County, Maine",3397.183044,152978,0,74302,237,61787,619,23793,1303,5719,516,25035,547,9351,645,25271,71,28608,0,27664,1083,5248,491.2,8896,69.0,268,151.4,3399,335.8,8579,485,1022,215.7,5186,475,6811,521,16.3,0.9,7.3,0.7,25035,547,8.8,0.6,16.5,0.1,18.7,0.0,18.3,0.7,8.5,0.8,5.8,0.0,0.2,0.1,4.6,0.5,11.5,0.7,1.7,0.3,8.4,0.7,4.5,0.3,0.5387,0.5699,0.4457,0.2143,1.7685,0.4362,0.4174,0.106,0.7297,0.5221,1.7752,0.3098,0.2018,0.1706,0.3725,0.1391,0.6809999999999999,0.5202,0.4177,0.8071,0.7845,3.2104,0.8497,7.1267,0.4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15906,1093,10.5,0.7,147789
2803,2803,"Washington County, Utah",49053,81.36,UT-Washington County,"8,653 ","8,718 ",2440,49,UTAH,UT,Washington,"Washington County, Utah",2426.943519,151959,0,62393,121,50256,791,22151,1966,4027,653,23549,681,6815,681,29728,121,42891,0,19625,1074,3730,472.3,22549,167.0,2176,455.7,2634,389.8,3554,554,2226,378.8,1543,232,2101,310,14.8,1.3,6.3,1.0,23549,681,7.2,0.7,19.6,0.1,28.2,0.0,13.0,0.7,7.4,0.9,14.8,0.1,1.5,0.3,4.2,0.6,5.7,0.9,4.4,0.8,3.1,0.5,1.4,0.2,0.4438,0.4241,0.5575,0.1063,1.5317,0.3607,0.7211,0.9484,0.2662,0.3422,2.2779,0.7039,0.4826,0.7020000000000001,1.1847,0.6059,0.6463,0.2652,0.9039,0.0872,0.3095,2.2119999999999997,0.3359,7.2063,0.4511,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,23235,1859,15.4,1.2,157625
3,3,"Bibb County, Alabama",1007,73.97,AL-Bibb County,"9,550 ","10,860 ",2113,1,ALABAMA,AL,Bibb,"Bibb County, Alabama",622.5823548999999,22572,0,8972,76,7048,352,3390,818,643,207,18988,1773,3040,374,3360,111,4756,44,3039,367,516,202.8,5696,21.0,96,106.7,195,86.6,2549,261,22,22.8,443,136,2001,190,16.5,4.0,7.1,2.3,18988,1773,19.3,2.3,14.9,0.5,21.1,0.2,14.8,1.8,7.3,2.9,25.2,0.1,0.4,0.5,2.2,1.0,28.4,3.0,0.3,0.3,6.3,1.9,8.9,0.8,0.5536,0.5425,0.8819,0.7781,2.7561,0.7393,0.2585,0.3088,0.4419,0.3266,1.3359,0.1022,0.645,0.3553,1.0003,0.5018,0.4072,0.9249,0.0248,0.5645,0.9156,2.8369999999999997,0.6663,7.9293,0.5737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1859,400,9.0,1.9,18756
301,301,"San Miguel County, Colorado",8113,83.73,CO-San Miguel County,"6,203 ","6,025 ",1413,8,COLORADO,CO,San Miguel,"San Miguel County, Colorado",1286.725889,7767,0,6706,22,3258,148,923,210,208,75,35701,2882,394,108,815,19,1492,42,720,133,237,66.7,1006,16.0,45,63.9,1638,134.5,144,49,113,42.6,167,60,31,19,11.9,2.7,4.3,1.5,35701,2882,6.8,1.9,10.5,0.2,19.2,0.5,9.3,1.7,7.3,2.0,13.0,0.2,0.6,0.9,24.4,2.0,2.1,0.7,3.5,1.3,5.1,1.8,0.4,0.2,0.2576,0.1754,0.0516,0.0891,0.5737,0.0834,0.0388,0.1324,0.0433,0.3168,0.5314,0.0111,0.4387,0.4403,0.879,0.4266,0.9885,0.0745,0.8316,0.3626,0.036000000000000004,2.2932,0.3738,4.2773,0.0595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,961,167,12.4,2.2,8810
1601,1601,"Broadwater County, Montana",30007,79.57,MT-Broadwater County,"6,572 ","6,804 ",657,30,MONTANA,MT,Broadwater,"Broadwater County, Montana",1192.332436,5692,0,2691,24,2417,86,471,151,155,82,29598,2659,266,70,1169,26,1161,83,923,182,122,63.0,356,14.0,0,56.0,33,27.8,446,124,33,34.9,59,32,46,28,8.3,2.7,5.6,3.0,29598,2659,6.4,1.7,20.5,0.5,20.4,1.5,16.3,3.2,5.0,2.6,6.3,0.2,0.0,1.0,1.2,1.0,16.6,4.6,1.4,1.4,2.4,1.3,0.8,0.5,0.0751,0.3298,0.1732,0.0672,0.6453,0.1076,0.7876,0.2362,0.581,0.0793,1.6842,0.2509,0.2225,0.0,0.2225,0.0662,0.2238,0.6905,0.2996,0.042,0.1025,1.3585,0.0602,3.9105,0.0347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,182,12.2,3.2,4462
1525,1525,"Hickory County, Missouri",29085,77.25,MO-Hickory County,"8,279 ","9,095 ",2877,29,MISSOURI,MO,Hickory,"Hickory County, Missouri",398.8075523,9267,0,6735,52,3962,255,2295,344,392,139,18694,1379,1308,204,2979,35,1611,49,2155,232,181,64.4,415,15.0,14,58.4,2,15.3,2382,262,22,22.8,212,85,94,88,25.2,3.7,11.6,3.9,18694,1379,18.2,2.9,32.1,0.4,17.4,0.5,23.5,2.5,4.6,1.6,4.5,0.2,0.2,0.7,0.0,0.2,35.4,3.9,0.6,0.6,5.4,2.1,1.0,0.9,0.9048,0.9223,0.8949,0.745,3.467,0.922,0.9940000000000001,0.0519,0.9462,0.0544,2.0465,0.5209,0.114,0.1506,0.2646,0.085,0.0245,0.9745,0.0516,0.4187,0.1671,1.6364,0.1254,7.4145,0.489,1,1,0,0,2,1,0,1,0,2,0,0,0,0,1,0,0,0,1,5,1453,257,15.8,2.8,7394
1959,1959,"Pasquotank County, North Carolina",37139,77.02,NC-Pasquotank County,"8,569 ","9,000 ",2325,37,NORTH CAROLINA,NC,Pasquotank,"Pasquotank County, North Carolina",226.8798866,39909,0,16922,123,14590,329,6521,857,1528,285,22549,977,3884,341,6068,47,8779,4,5649,461,1788,275.6,18003,23.0,238,131.4,852,166.8,1942,279,420,131.6,1587,226,2305,293,17.4,2.3,8.5,1.5,22549,977,14.6,1.3,15.2,0.1,22.0,0.0,14.7,1.2,12.3,1.9,45.1,0.1,0.6,0.4,5.0,1.0,11.5,1.6,2.9,0.9,10.9,1.5,5.8,0.7,0.6097,0.7163,0.6345,0.5944,2.5549,0.6804,0.2833,0.4164,0.4308,0.9239,2.0544,0.5288,0.8539,0.45299999999999996,1.3069,0.6826,0.7093,0.5202,0.7558,0.9252,0.8399,3.7504,0.9758,9.6667,0.8462,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,5469,566,14.2,1.4,40391
1071,1071,"McCracken County, Kentucky",21145,76.41,KY-McCracken County,"8,580 ","10,011 ",419,21,KENTUCKY,KY,McCracken,"McCracken County, Kentucky",248.74657489999998,65292,0,31513,97,27950,435,11342,1020,1563,281,28926,1647,5620,447,11842,75,14310,22,10249,689,2830,424.9,10664,24.0,211,160.1,1482,282.5,3208,353,258,108.8,2149,337,1287,199,17.8,1.6,5.1,0.9,28926,1647,12.2,1.0,18.1,0.1,21.9,0.0,16.0,1.1,10.1,1.5,16.3,0.0,0.3,0.3,4.7,0.9,10.2,1.1,0.9,0.4,7.7,1.2,2.0,0.3,0.6364,0.2588,0.1977,0.4616,1.5546,0.368,0.5845,0.4056,0.5559,0.7577,2.3037,0.7227,0.5177,0.2919,0.8096,0.3881,0.6893,0.4709,0.1394,0.7475,0.5056,2.5527,0.5091,7.2206,0.4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5652,676,8.8,1.1,80590
